gene_name,gene_code,predicted_cluster
CNIH4,ENSG00000143771,25
WDR26,ENSG00000162923,42
SRP9,ENSG00000143742,23
SDE2,ENSG00000143751,43
H3F3A,ENSG00000163041,-1
PARP1,ENSG00000143799,-1
ARF1,ENSG00000143761,-1
C1orf35,ENSG00000143793,26
MRPL55,ENSG00000162910,27
GUK1,ENSG00000143774,-1
IBA57,ENSG00000181873,-1
HIST3H2A,ENSG00000181218,6
RNF187,ENSG00000168159,-1
NUP133,ENSG00000069248,-1
URB2,ENSG00000135763,-1
COG2,ENSG00000135775,-1
FAM89A,ENSG00000182118,15
C1orf131,ENSG00000143633,39
GNPAT,ENSG00000116906,-1
AL445524.1,ENSG00000233461,-1
TSNAX,ENSG00000116918,-1
IRF2BP2,ENSG00000168264,22
TOMM20,ENSG00000173726,0
ARID4B,ENSG00000054267,-1
B3GALNT2,ENSG00000162885,48
HEATR1,ENSG00000119285,49
FH,ENSG00000091483,33
CHML,ENSG00000203668,-1
EXO1,ENSG00000174371,19
SDCCAG8,ENSG00000054282,22
ADSS,ENSG00000035687,49
DESI2,ENSG00000121644,39
COX20,ENSG00000203667,-1
HNRNPU,ENSG00000153187,33
SMYD3,ENSG00000185420,22
SCCPDH,ENSG00000143653,-1
AHCTF1,ENSG00000153207,-1
ZNF695,ENSG00000197472,-1
ZNF496,ENSG00000162714,39
ACP1,ENSG00000143727,23
ADI1,ENSG00000182551,50
RNASEH1,ENSG00000171865,27
RPS7,ENSG00000171863,0
CMPK2,ENSG00000134326,22
ITGB1BP1,ENSG00000119185,27
CPSF3,ENSG00000119203,-1
YWHAQ,ENSG00000134308,-1
TAF1B,ENSG00000115750,-1
RRM2,ENSG00000171848,-1
ODC1,ENSG00000115758,33
NOL10,ENSG00000115761,27
PDIA6,ENSG00000143870,3
ROCK2,ENSG00000134318,-1
LPIN1,ENSG00000134324,11
TRIB2,ENSG00000071575,27
NBAS,ENSG00000151779,11
DDX1,ENSG00000079785,36
LAPTM4A,ENSG00000068697,43
SF3B6,ENSG00000115128,-1
NCOA1,ENSG00000084676,-1
HADHA,ENSG00000084754,-1
SLC35F6,ENSG00000213699,-1
CENPA,ENSG00000115163,7
TMEM214,ENSG00000119777,-1
AGBL5,ENSG00000084693,-1
OST4,ENSG00000228474,-1
PREB,ENSG00000138073,39
ATRAID,ENSG00000138085,-1
CAD,ENSG00000084774,-1
GTF3C2,ENSG00000115207,44
EIF2B4,ENSG00000115211,-1
PPM1G,ENSG00000115241,32
NRBP1,ENSG00000115216,-1
GPN1,ENSG00000198522,-1
MRPL33,ENSG00000243147,12
PPP1CB,ENSG00000213639,-1
WDR43,ENSG00000163811,36
TTC27,ENSG00000018699,50
LTBP1,ENSG00000049323,11
CEBPZOS,ENSG00000218739,-1
CEBPZ,ENSG00000115816,31
PRKD3,ENSG00000115825,-1
SRSF7,ENSG00000115875,-1
GEMIN6,ENSG00000152147,-1
MORN2,ENSG00000188010,-1
MAP4K3-DT,ENSG00000231312,-1
EML4,ENSG00000143924,-1
COX7A2L,ENSG00000115944,-1
DYNC2LI1,ENSG00000138036,-1
LRPPRC,ENSG00000138095,32
MCFD2,ENSG00000180398,14
CALM2,ENSG00000143933,-1
EPCAM,ENSG00000119888,41
MSH2,ENSG00000095002,32
SPTBN1,ENSG00000115306,42
RTN4,ENSG00000115310,15
RPS27A,ENSG00000143947,4
MTIF2,ENSG00000085760,27
CCDC88A,ENSG00000115355,-1
PNPT1,ENSG00000138035,27
XPO1,ENSG00000082898,-1
CCT4,ENSG00000115484,-1
ACTR2,ENSG00000138071,14
C1D,ENSG00000197223,18
PNO1,ENSG00000115946,27
NFU1,ENSG00000169599,-1
SNRNP27,ENSG00000124380,-1
PCBP1,ENSG00000169564,-1
TIA1,ENSG00000116001,-1
SNRPG,ENSG00000143977,-1
FAM136A,ENSG00000035141,-1
MCEE,ENSG00000124370,39
MPHOSPH10,ENSG00000124383,27
CCT7,ENSG00000135624,-1
TPRKB,ENSG00000144034,28
DGUOK,ENSG00000114956,22
BOLA3,ENSG00000163170,36
MTHFD2,ENSG00000065911,16
INO80B,ENSG00000115274,-1
AUP1,ENSG00000115307,23
POLE4,ENSG00000115350,-1
MRPL19,ENSG00000115364,-1
TMSB10,ENSG00000034510,10
KCMF1,ENSG00000176407,26
CAPG,ENSG00000042493,17
MAT2A,ENSG00000168906,6
VAMP8,ENSG00000118640,14
RNF181,ENSG00000168894,-1
USP39,ENSG00000168883,-1
POLR1A,ENSG00000068654,-1
PTCD3,ENSG00000132300,51
MRPL35,ENSG00000132313,-1
CHMP3,ENSG00000115561,-1
RPIA,ENSG00000153574,51
MRPS5,ENSG00000144029,-1
STARD7,ENSG00000084090,-1
CIAO1,ENSG00000144021,-1
KANSL3,ENSG00000114982,48
ANKRD39,ENSG00000213337,-1
FAM178B,ENSG00000168754,11
COX5B,ENSG00000135940,-1
COA5,ENSG00000183513,12
UNC50,ENSG00000115446,39
EIF5B,ENSG00000158417,-1
RPL31,ENSG00000071082,0
CNOT11,ENSG00000158435,-1
MRPS9,ENSG00000135972,27
GCC2,ENSG00000135968,42
LIMS1,ENSG00000169756,22
BUB1,ENSG00000169679,7
BCL2L11,ENSG00000153094,-1
ZC3H8,ENSG00000144161,26
POLR1B,ENSG00000125630,51
CHCHD5,ENSG00000125611,-1
SLC20A1,ENSG00000144136,-1
ACTR3,ENSG00000115091,-1
DDX18,ENSG00000088205,-1
DBI,ENSG00000155368,14
CLASP1,ENSG00000074054,-1
NIFK,ENSG00000155438,27
GYPC,ENSG00000136732,-1
ERCC3,ENSG00000163161,-1
IWS1,ENSG00000163166,-1
SAP130,ENSG00000136715,-1
MZT2B,ENSG00000152082,-1
